,Drehzahl,Vorschub,Kraft,Winkel,Abtrag,Input,Methode
0,4500,50,10,1,0.02125000000000002,0.02,dtree
0,4500,50,10,1,0.02125000000000002,0.02,dtree
0,2500,50,15,1,0.01699999999999997,0.02,dtree
1,2500,50,15,1,0.01699999999999997,0.017,dtree
0,2500,50,20,1,0.01699999999999997,0.02,dtree
1,2500,50,20,1,0.01699999999999997,0.017,dtree
0,2500,50,25,1,0.01699999999999997,0.025,dtree
1,2500,50,25,1,0.01699999999999997,0.02,dtree
2,2500,50,25,1,0.01699999999999997,0.015,dtree
0,2500,50,26,1,0.02333333333333333,0.025,dtree
1,4500,50,10,1,0.02125000000000002,0.02,dtree
2,2500,50,15,1,0.01699999999999997,0.015,dtree
0,2500,80,10,5,0.0030000000000000027,0.003,dtree
1,2500,80,15,5,0.011222222222222196,0.009,dtree
2,2500,80,15,5,0.011222222222222196,0.010,dtree
3,4500,150,15,5,0.005285714285714306,0.005,dtree
0,1000,90,10,1,0.002,0.002,dtree
1,1000,50,10,1,0.0033750000000000004,0.003,dtree
2,2500,170,15,1,0.0038,0.004,dtree
3,2500,90,10,1,0.0046,0.005,dtree
4,4500,170,26,1,0.005999999999999999,0.006,dtree
5,2500,90,26,1,0.009142857142857144,0.009,dtree
6,2500,90,15,1,0.011999999999999999,0.012,dtree
7,2000,50,13,1,0.016833333333333336,0.017,dtree
8,4500,50,10,1,0.02211351111111111,0.02,dtree
9,4500,50,10,1,0.02211351111111111,0.023,dtree
0,5000,60,16,3,0.020011175188437258,0.02,mlp
1,3500,200,13,3,0.001999569790139155,0.002,mlp
2,2500,190,24,3,0.0029999851946515554,0.003,mlp
3,1500,60,10,3,0.004000716521274594,0.004,mlp
4,1000,70,22,3,0.0049989461013843495,0.005,mlp
5,4000,120,23,3,0.008001683474915866,0.008,mlp
6,3000,60,29,3,0.01299879977771462,0.013,mlp
7,4500,50,10,3,0.01696766286334339,0.017,mlp
8,3500,50,23,3,0.019079294580119477,0.019,mlp
9,5000,80,29,3,0.02302280308824961,0.023,mlp
10,1000,140,29,3,0.0034988211209651676,0.0035,mlp
0,4000,60,17,4,0.0170024074768831,0.017,mlp
0,4500,80,10,1,0.005200000000000005,0.005,dtree
1,2500,50,15,1,0.01699999999999997,0.015,dtree
0,1000,70,22,3,0.0049989461013843495,0.005,mlp
1,5000,80,21,3,0.015024986338061819,0.015,mlp
0,1000,50,10,1,0.0030000000000000005,0.003,dtree
1,2500,150,15,1,0.003857142857142857,0.004,dtree
2,1000,50,22,1,0.005947033333333335,0.007,dtree
3,2000,50,10,1,0.011714285714285714,0.014,dtree
0,4500,150,15,1,0.005190476190476192,0.005,dtree
1,2500,90,15,1,0.010272727272727274,0.009,dtree
2,1000,70,10,1,0.0113986,0.012,dtree
3,3000,50,10,1,0.014,0.013,dtree
4,2000,50,10,1,0.0237756,0.019,dtree
5,2000,50,26,1,0.025666666666666667,0.026,dtree
0,1000,50,26,1,0.003750000000000031,0.004,dtree
1,2500,50,10,1,0.011833333333333326,0.013,dtree
0,2500,150,15,1,0.0036000000000000034,0.0035,dtree
1,2500,80,26,1,0.007800000000000029,0.009,dtree
2,2500,50,15,1,0.01699999999999997,0.017,dtree
3,2500,50,26,1,0.02333333333333333,0.023,dtree
0,4500,80,10,1,0.006,0.006,dtree
1,2500,80,26,1,0.00966667,0.009,dtree
2,2500,80,16,1,0.01225,0.013,dtree
3,2500,80,16,1,0.01225,0.016,dtree
0,2500,80,25,3,0.009001365640285558,0.009,mlp
1,5000,60,19,3,0.017987402134500813,0.018,mlp
2,4500,50,20,3,0.026859599995369687,0.027,mlp
